Data,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10
Bounce_1,18.125,17.875,17.750,18.000,17.875,18.000,18.000,17.875,18.000,17.625
Bounce_2,14.875,14.500,14.375,14.250,14.250,14.375,14.500,14.375,14.625,14.375
Bounce_3,12.250,12.000,11.625,11.625,11.500,11.625,11.750,11.375,12.000,11.750
